办理时间,部门,是否网上办,材料数量,办理时长,满意度
2025-03-23,5,1,2.0,3.9,5.0
2025-03-29,0,1,3.0,3.3,5.0
2025-04-06,6,1,3.0,4.0,5.0
2025-11-03,5,1,7.0,4.8,4.5
2025-05-07,8,1,5.0,4.7,4.0
2025-04-08,8,1,7.0,5.8,4.2
2025-03-20,0,1,7.0,4.6,4.4
2025-03-15,6,0,5.0,5.2,4.4
2025-07-15,2,1,6.0,5.4,4.8
2025-10-24,0,1,3.0,3.9,4.6
2025-11-27,5,0,2.0,5.3,4.9
2025-04-25,5,1,7.0,6.8,3.9
2025-02-23,6,0,5.0,6.5,3.9
2025-06-30,0,1,2.0,3.6,5.0
2025-05-17,0,0,2.0,4.9,4.9
2025-05-20,2,0,7.0,5.7,4.1
2025-03-14,5,1,8.0,5.7,3.9
2025-10-02,8,0,3.0,5.5,4.4
2025-11-26,6,1,2.0,3.8,4.6
2025-02-09,2,0,4.0,5.7,4.3
2025-09-06,0,1,8.0,4.7,4.5
2024-12-20,5,0,6.0,6.7,3.2
2025-01-27,0,1,6.0,4.1,4.8
2025-07-11,8,1,3.0,3.4,5.0
2025-05-01,6,0,8.0,7.0,3.2
2025-07-10,5,1,6.0,6.1,4.0
2025-01-19,8,1,7.0,5.4,3.8
2025-07-03,0,1,7.0,6.1,4.3
2025-11-28,6,1,7.0,4.9,4.3
2025-07-10,6,1,5.0,4.5,5.0
2025-04-18,5,1,5.0,5.5,4.1
2025-11-25,6,1,4.0,3.8,5.0
2025-06-08,0,0,7.0,5.4,4.1
2025-05-07,5,1,3.0,3.1,5.0
2025-01-14,0,1,8.0,5.2,5.0
2025-11-03,6,1,7.0,5.9,4.0
2025-11-05,6,0,4.0,5.0,4.8
2025-10-09,5,1,2.0,3.3,5.0
2025-03-18,2,1,5.0,3.6,5.0
2025-11-11,6,1,5.0,5.2,4.4
2025-08-25,6,0,7.0,6.0,4.3
2025-06-10,5,1,8.0,5.7,4.0
2025-10-23,6,1,4.0,3.6,5.0
2025-10-27,5,1,2.0,3.2,5.0
2025-04-14,0,0,5.0,6.0,4.0
2025-01-26,6,1,4.0,3.9,5.0
2025-08-17,2,1,2.0,2.6,4.6
2025-03-14,6,0,4.0,5.5,4.6
2025-03-17,6,1,4.0,5.7,4.9
2025-02-07,5,1,5.0,3.4,5.0
2025-04-01,6,1,4.0,4.8,4.8
2025-01-01,5,1,8.0,5.3,3.9
2025-05-08,5,0,6.0,5.3,4.6
2025-01-21,5,0,2.0,2.9,5.0
2025-08-29,6,1,7.0,5.1,4.0
2024-12-24,6,1,5.0,4.3,5.0
2025-07-29,6,0,2.0,4.9,5.0
2025-01-16,6,1,4.0,3.4,5.0
2025-07-02,5,1,4.0,5.4,5.0
2024-12-22,2,0,3.0,3.3,4.8
2025-10-23,0,1,5.0,3.5,5.0
2025-01-18,0,0,8.0,7.0,3.0
2025-04-04,2,1,8.0,6.4,3.8
2025-03-24,0,1,3.0,3.5,5.0
2025-04-19,6,1,8.0,7.3,3.2
2025-09-25,6,1,8.0,6.4,4.1
2025-10-27,2,0,8.0,7.1,3.6
2025-05-27,0,0,8.0,7.2,2.5
2025-06-24,8,0,2.0,5.2,4.8
2024-12-04,2,1,8.0,5.7,3.9
2025-11-04,5,1,2.0,3.0,5.0
2025-08-30,2,1,4.0,3.1,5.0
2025-08-16,0,0,4.0,5.5,4.4
2025-03-27,5,1,2.0,1.9,5.0
2025-01-23,8,0,7.0,5.7,4.0
2025-03-04,6,1,6.0,5.2,4.4
2025-01-17,2,1,2.0,2.3,5.0
2025-09-05,0,0,6.0,7.1,3.2
2025-04-27,0,0,6.0,6.1,3.2
2025-11-15,2,1,4.0,3.2,5.0
2025-09-29,6,1,2.0,3.4,5.0
2025-04-02,5,1,3.0,2.7,5.0
2025-02-15,8,1,7.0,5.6,4.1
2025-03-17,6,1,4.0,4.2,5.0
2025-09-15,6,0,5.0,5.2,4.1
2025-07-14,5,0,6.0,6.6,3.7
2025-04-25,8,0,5.0,4.6,4.6
2025-10-04,6,0,3.0,3.5,5.0
2025-03-26,5,1,7.0,5.8,4.0
2025-01-03,6,1,7.0,5.6,4.0
2025-04-15,0,0,6.0,6.7,3.2
