办理时间,部门,是否网上办,材料数量,办理时长,满意度
2025-03-23 00:00:00,市场监管局,网上办,2,3.9,5.0
2025-03-29 00:00:00,人社局,网上办,3,3.3,5.0
2025-04-06 00:00:00,民政局,网上办,3,4.0,5.0
2025-11-03 00:00:00,市场监管局,网上办,7,4.8,4.5
2025-05-07 00:00:00,税务局,网上办,5,4.7,4.0
2025-04-08 00:00:00,税务局,网上办,7,5.8,4.2
2025-03-20 00:00:00,人社局,网上办,7,4.6,4.4
2025-03-15 00:00:00,民政局,窗口办,5,5.2,4.4
2025-07-15 00:00:00,住建局,网上办,6,5.4,4.8
2025-10-24 00:00:00,人社局,网上办,3,3.9,
2025-11-27 00:00:00,市场监管局,窗口办,2,5.3,4.9
2025-04-25 00:00:00,市场监管局,网上办,7,6.8,3.9
2025-02-23 00:00:00,民政局,窗口办,5,6.5,3.9
2025-06-30 00:00:00,人社局,网上办,2,3.6,5.0
2025-05-17 00:00:00,人社局,窗口办,2,4.9,4.9
2025-05-20 00:00:00,住建局,窗口办,7,5.7,4.1
2025-03-14 00:00:00,市场监管局,网上办,8,5.7,3.9
2025-10-02 00:00:00,税务局,窗口办,3,5.5,4.4
2025-11-26 00:00:00,民政局,网上办,2,3.8,
2025-02-09 00:00:00,住建局,窗口办,4,5.7,4.3
2025-09-06 00:00:00,人社局,网上办,8,4.7,4.5
2024-12-20 00:00:00,市场监管局,窗口办,6,6.7,3.2
2025-01-27 00:00:00,人社局,网上办,6,4.1,4.8
2025-07-11 00:00:00,税务局,网上办,3,3.4,5.0
2025-05-01 00:00:00,民政局,窗口办,8,7.0,3.2
2025-07-10 00:00:00,市场监管局,网上办,6,6.1,4.0
2025-01-19 00:00:00,税务局,网上办,7,5.4,3.8
2025-07-03 00:00:00,人社局,网上办,7,6.1,4.3
2025-11-28 00:00:00,民政局,网上办,7,4.9,4.3
2025-07-10 00:00:00,民政局,网上办,5,4.5,5.0
